Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-08-27 00:00:00+07:00,6052.8271484375,6066.4912109375,6021.9541015625,6041.3662109375,156989800,0.0,0.0
2021-08-30 00:00:00+07:00,6062.11279296875,6144.90185546875,6062.11279296875,6144.90185546875,159300800,0.0,0.0
2021-08-31 00:00:00+07:00,6148.76806640625,6158.06982421875,6117.5029296875,6150.298828125,189133300,0.0,0.0
2021-09-01 00:00:00+07:00,6157.82080078125,6169.05615234375,6089.23291015625,6090.93310546875,194563800,0.0,0.0
2021-09-02 00:00:00+07:00,6092.65087890625,6110.0498046875,6054.28076171875,6078.22900390625,179403300,0.0,0.0
2021-09-03 00:00:00+07:00,6085.6279296875,6126.9208984375,6056.18603515625,6126.9208984375,171489500,0.0,0.0
2021-09-06 00:00:00+07:00,6137.1259765625,6150.35791015625,6100.93115234375,6126.93798828125,173887900,0.0,0.0
2021-09-07 00:00:00+07:00,6135.8701171875,6145.48876953125,6100.94384765625,6112.39990234375,180693200,0.0,0.0
2021-09-08 00:00:00+07:00,6114.47705078125,6123.755859375,6001.5791015625,6026.02001953125,196394300,0.0,0.0
2021-09-09 00:00:00+07:00,6024.31689453125,6072.64306640625,5982.76611328125,6068.21923828125,214651900,0.0,0.0
2021-09-10 00:00:00+07:00,6059.15478515625,6102.8310546875,6047.60888671875,6094.873046875,192886100,0.0,0.0
2021-09-13 00:00:00+07:00,6080.06201171875,6094.98779296875,6052.97021484375,6088.1572265625,158870000,0.0,0.0
2021-09-14 00:00:00+07:00,6100.62890625,6130.86279296875,6099.158203125,6129.09521484375,201683300,0.0,0.0
2021-09-15 00:00:00+07:00,6123.91015625,6125.333984375,6100.00390625,6110.22900390625,188698800,0.0,0.0
2021-09-16 00:00:00+07:00,6126.55517578125,6137.6689453125,6098.876953125,6109.94189453125,218872800,0.0,0.0
2021-09-17 00:00:00+07:00,6098.8779296875,6133.24609375,6086.083984375,6133.24609375,224719500,0.0,0.0
2021-09-20 00:00:00+07:00,6132.0341796875,6133.1708984375,6053.93212890625,6076.31494140625,176619400,0.0,0.0
2021-09-21 00:00:00+07:00,6049.79296875,6068.79296875,5996.4072265625,6060.7568359375,179600700,0.0,0.0
2021-09-22 00:00:00+07:00,6060.30517578125,6123.7412109375,6059.6279296875,6108.26513671875,184349300,0.0,0.0
